name = model_decor_sparse_t_reg_26, n_topics = 2000, n_doc_passes = 5, seed_value = 100, n_iterations = 15, n_top_tokens = 15, p_threshold = 0.25
sparse_theta_regularizer, tau = 0.1
decorrelator_phi_regularizer, tau = 100
last_perplexity_score = 449.789538458
last_sparsity_phi_score = 0.889678967528
last_sparsity_theta_score = 0.0
last_topic_kernel_avgsize = 5.6895
last_topic_kernel_purity = 0.406288950802
last_topic_kernel_contrast = 0.43322699481
perplexity_score = [17381.549243901325, 4361.011323267947, 4780.770594285123, 3887.7493084543785, 3582.1555140878845, 2049.9491312908062, 1344.6393146808173, 935.3705989412928, 742.7150716615478, 638.3155967432283, 571.8695286479468, 524.1918964127484, 491.96160910552857, 467.12317571078967, 449.78953845801266]
sparsity_phi_score = [0.0, 0.001811256574434027, 0.001811256574434027, 0.0035447633203750284, 0.006472558884061285, 0.013717670935284702, 0.023775383032243313, 0.03652532586325177, 0.060367710953578776, 0.12927729819345987, 0.31523479304825064, 0.5164976274868511, 0.7021215984450034, 0.8221531271438371, 0.8896789675280128]
sparsity_theta_score = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
topic_kernel_avgsize = [0.0, 0.0, 0.0005, 0.047, 1.001, 2.4665, 3.984, 4.725, 4.9355, 4.9535, 5.151, 5.2535, 5.414, 5.5625, 5.6895]
topic_kernel_purity = [0.0, 0.0, 0.00015648090839385985, 0.001140791954647284, 0.009903336851733911, 0.02782988910783024, 0.048928952575297446, 0.06871617414323555, 0.08874759825355431, 0.10703843402160601, 0.13174488112321298, 0.1762471349809432, 0.24360031559494383, 0.32942054162568457, 0.40628895080187793]
topic_kernel_contrast = [0.0, 0.0, 0.00019076119185820723, 0.004144167027441683, 0.03156790933157876, 0.07503681186903463, 0.1199336884460348, 0.15385152519197262, 0.18618613782575058, 0.2150106932067513, 0.24189950845562425, 0.27757127468078174, 0.32066032545614903, 0.3801227993173031, 0.43322699480956156]
topic_0: ухудшение престиж британия важный_часть работоспособность звёздочка внешний_фактор произношение неспособность материальный_ресурс осанка отличительный_признак приток разный_задача дегенерация
topic_23: конец крепость сила большинство род военный причина состав середина армия отец целое судьба уничтожение дом
topic_24: юрист профессия право юриспруденция автономия врач император профессионал медицина интерес институт эндрю сфера_деятельность король деятельность
topic_25: языковой_картина жалость разный_вариант внутренний_структура следственный_связь геометрия причинность носитель_русский_язык апресян голуба конвенция палец левонтина пословица заявление
topic_26: фото внешний_вид подкласс хороший_обзор эра отдельный_ген огромный_прогресс низкий_концентрация центральный_америка колумб киселев нагорье светлый_будущее медикамент движение_вперёд
topic_27: дисбаланс чей_работа обочина единственный_выход высокий_слой меценат ротация высокий_статус рудимент верховный_власть командир положительный_эмоция выпускник_школа миллион_евро идиотизм
topic_28: афина папа_григорий тиран иск исламист теломераза социология_пространство еретик область_философия поверхность_нейтронный_звезда предательство тарантино помещик темп_расширение_вселенная мировой_система
topic_29: московский_область сверхтекучий_жидкость внешний_магнитный_поль гравитационный_волна направление_поиск выступ твёрдый_вещество квантовый_флуктуация свойство_частица нейтрон солнечный_луч разный_цвет реликтовый_излучение промышленный_производство квантовый_эффект
topic_30: пытка полотно маргарета говард птичка простой_мысль личный_качество подобный_пример высокий_требование удачный_пример жемчужина подлинность вид_отдельный форд заключённый
topic_31: колонна называние меланезиец остров солнечный_батарея оптический_волокно ядро_клетка батарея физиономия пирожок отдельный_группа архитектурный_сооружение эре артерия хороший_шанс
topic_32: запах доставка распознавание отросток западный_учёный подобный_исследование определённый_место факультет_мгу эпителий живой_организм отставание школьный_учебник министерство_образование необходимый_условие финансирование
topic_33: самоощущение интеллектуальный_жизнь товарищ способ_выражение усыновление эмоциональный_жизнь история_советский чистый_лист культурный_особенность главный_мысль этап_формирование обучение_язык виртуальный_пространство слоновый_костя легитимность
topic_34: магистратура британский_магистратура_шанинка международный_политика высокий_учебный_заведение магистерский_программа практический_работа ключевой_тема бакалавриат поступление диван практический_психология тестирование закрытие рейх меньший_масштаб
topic_35: особь детёныш гоминид обезьяна пища ген половый_партнёр группировка разговор сородич шимпанзе взрослый популяция приспособление выживание
topic_36: оптимизация кровеносный_сосуд инженерия иона фактор_рост большой_вероятность большой_точность создание_материал протеин должное_образ микроструктура вычислительный_наука помощь_разный утроба_матерь общий_понимание
topic_37: формалист русский_формализм формализм литература эйхенбаум русский_формалист формальный_школа контекст заимствование парадигма якобсон история_литература подход вундт запад
topic_38: факт основа способ сарай система_отсчёт момент метрика специальный_теория_относительность преобразование_лоренц плоскость наблюдение ускорение исключение уравнение_максвелл координатный_сетка
topic_39: миллион вымирание биоразнообразие темп падение десяток цифра порядок масштаб лесной название разнообразие методика новый_вид сокращение
topic_40: сантиметр отрывок уникальность ассимиляция противопоставление индеец иммигрант утрата север иммиграция лондон расчёт национальность оформление неслучайность
topic_41: традиция территория род организация сохранение черта продолжение регион средство чужое фольклорный_традиция целостность песня этнограф польза
topic_42: параметр небольшой_число куб приложение динамик кристаллический_решётка некоторый_область расчёт построение большой_счёт кривая автор_статья неопределённость сетка узел
topic_43: парк различение язык_описание характеристика концептуализация теракт система_различение сообщество парка самоубийство социологический_теория необходимость познание избирательный_участок практика
topic_44: система_образование франко высокий_образование детский_сад новый_идея бакалавриат противовес российский_школа реформа_образование качество_образование конёк защитный_механизм высокий_школа магистратура девочка
topic_45: причина сила революция катастрофа середина право прошлое следствие большой_часть формула сущность глава падение сочетание стремление
topic_46: акт роберт конечный_итог пропаганда эскапизм пруст свидетельство режим призыв парадоксальный_образ рассмотрение отрывок полнота наблюдатель убеждение
topic_47: япония император княжество японец князь самурай переход мировой_держава колония вор дворец перелом военный период война
topic_48: российский_империя германия значительный_часть явление увар исток профессура лояльность рецепция преподавание социальный_структура петербургский_университет всеобщий_история московский_университет машина
topic_49: правый темнота горизонт большинство сексуальность восток гомосексуальность контроль критика кант жертва берлин преследование режим запрет
topic_50: журналист покушение террор террорист терроризм народ император убийство александр_ii революционер цареубийство газета террористический_акт русский_общество революционный_движение
topic_51: изменение сожаление проявление большинство причина зависимость ряд фактор рамка чаща первое практика термин наличие основание
topic_52: завершение политология национальный_государство западный_страна андерсен распределение глобализация экономически_развитый_страна профсоюз государственный_вмешательство общественный_жизнь путаница получение эра социальный_государство
topic_53: южный_африка древность африканец предок юар белых интенсивный_развитие религиозный_движение угнетение видимость чистый_вода община африка квартира белые
topic_54: реакция продукт явление получение углерод взаимодействие температура температура_плавление синтез реагент интерес порядок градус_цельсий люба горение
topic_55: технологический_прорыв пласт расширение_вселенная заметный_экономический_эффект перспективный_исследовательский_задача суперкомпьютер иной_образ разведка нефть добывание система_уравнение генный_терапия доктор_физикий датчик механика
topic_56: кинг чернокожий сопротивление ти гражданский_право вашингтон ганди образ_жизнь право учение кеннеди фбр активный_деятельность роберт законодательство
topic_57: кварк адрон мезон частица протон барион нейтрон пара антикварк заряд физика глюон взаимодействие анти распад
topic_58: календарь весна осень обряд обострение престол вавилон злодей определённый_форма плодородие отдельный_история световой преобразователь трон одежда
topic_59: реформатор государственный_университет порыв производство_знание утопический_проект компьютерный_вычисление средневековый_город аксиома городской_пространство интонация ящик крепостной_право возвышение дева_мария важный_место
topic_60: государственный_безопасность официальный_идеология новый_группа советский_государство использование_термин заключённый выставка восточный_германия однозначность человечность род_человеческий фокус_внимание канва саудовский_аравия канцлер
topic_61: магнус теломераза пугачев самозванец лимит количество_клетка юный_возраст поверхность_нейтронный_звезда имянаречение папа_григорий полиненасыщенный_жирный_кислота возраст_звезда частица_свет близкие_галактика реликтовый_излучение
topic_62: система_организм следование расстройство получение_удовольствие психический_расстройство энциклопедический_словарь влечение отдел_головной_мозг самооценка молодая_мужчина зависть лидерство сложный_процесс бином молодой_возраст
topic_63: коррупция византийский_империя гай сообщество_микроорганизм современный_дискурс форд причастность глобальный_система современный_университет афина банда совместный_деятельность разный_национальность литературный_творчество галич
topic_64: богатырь двойной_спираль нельсон тираж хороший_сторона начальный_уровень элемент_культура естественный_наука хороший_учебник смерть_автор теоретический_рассуждение кокс тула важный_веха средний_школа
topic_65: программный_обеспечение методология индустрия стоимость облако безопасность требование компания услуга разработчик сервис влияние реализация проведение прогнозирование
topic_66: магнитный_поль магнитный_пол нейтронный_звезда магнитара магнитар пол кора рентгеновский_пульсар всплеск поль гамма компактный_объект ток ударный_волна силовой_линия
topic_67: философия_xx_век могущество апроприация гегелевский_философия балансирование папа_григорий федерализм ордината афина теломераза негодование властный_полномочие дон_кихот полиненасыщенный_жирный_кислота энергия_столкновение
topic_68: пользователь социальный_сеть репутация мнение большинство интернет приложение наблюдение чаща подсчёт сравнение рекомендация телевидение разрушение взаимодействие
topic_69: концепция канал регулирование семя кровь эра следствие болезнь инь упражнение китай разделение практика создание просветление
topic_70: свобода бердяев этика путь бог ценность религия попытка рамка грех освобождение революция мысль творчество борьба
topic_71: атмосфера биомаркер кислород метан планет спектр экзопланета миллиард атмосфера_экзопланета звезда атмосфера_планета планета способ состав_атмосфера спектральный_линия
topic_72: гражданство гражданин сальвадор членство интеграция член паспорт сообщество коллизия аргумент статус юр лояльность турция либеральный_демократия
topic_73: стол обложка семантический_анализ гарри_поттер наблюдатель естествознание цитата книжечка панов исторический_материал неспециалист феноменология чуковский легенда слог
topic_74: гласный говор русский_язык русский_говор литературный_язык диалектный_язык ять ударение мягкий_согласный позиция произношение территория северный_говор литр дифтонг
topic_75: диалект карта диалектологический_атлас_русский_язык говор русский_диалектология лексика литературный_язык словарь вариант русский_диалект русский_язык литр атлас диалектология лингвистический_география
topic_76: проекция цитирование современный_экономика выпускник хороший_университет учёный_должный хронология присяга предсказание социальный_наука сложный_вопрос высокий_школа заведение сессия область_современный
topic_77: телеграф коммуникация медиа демократия печатный_станок победитель эпоха тренд мнение власть разрыв публика техника усилие сообщение
topic_78: нейтронный_звезда звезда белый_карлик белых_карлик вещество белые_карлик светимость кварковый_звезда атмосфера солнце термоядерный_реакция радиус компактный_объект гравитация излучение
topic_79: копия уолтер комикс парень одержимость настоящий_наука геномный_последовательность сверхчеловек прокат голливудский_фильм экзистенциализм дилемма хранитель гомосексуальность подобный_пример
topic_80: циклотрон ускоритель пучок энергия синхротрон частица магнит лоуренс частота первое протон машина лаборатория комплекс линейный_ускоритель
topic_81: транспорт электроэнергия поезд километр вода полоска дорога ток напряжение применение высокотемпературный_сверхпроводник тупик магнитный_пол сеть линия
topic_82: профилактика фактор_риска болезнь_сердце сосуд смертность стресс сердечный_недостаточность артериальный_давление курение смерть сосудистый_заболевание кардиология инфаркт инфаркт_миокард снижение_смертность
topic_83: количество обработка терабайт чёткий_граница экспериментальный_установка пропускной_способность нужный_место вконтакте интересный_задача разный_аспект корреляция строгий_определение поток_информация навигация фитнес
topic_84: доллар возмущение цент пособие сбережение инвестирование дедушка модерн трата колледж рекомендация кукла топография подобный_образ доцент_кафедра
topic_85: область_знание сторонник воспитание напряжение убеждение собственный_имя обитание афины тёмный_сила теология порождение научный_школа авторитет выписка образцов
topic_86: единство одиночество согласие построение порядок требование легитимность цех индивид политический_философия посетитель предмет равенство станок сближение
topic_87: нано оглядка естественный_язык свойство_материя ярка параметр_порядок энерговыделение триплет квадратный_сантиметр миллион_километр косвенный_признак явление_сверхтекучесть фурье лямбда тёмный_пятно
topic_88: идеолог похороны умерший троцкий публицист коммунист советский_государство пропагандист рождество отдельный_работа обряд пропаганда новое_общество свадьба выступление
topic_89: декабрист солдат восстание тайный_общество крестьянин престол эпоха гвардия республика офицер монарх преобразование конституция муравьев крепостной_право
topic_90: дополнительный_измерение оборотный_сторона путь_выход электрослабый_взаимодействие четырехмерный_пространство рубаков ядерный_реакция энергия_порядок гравитационный_взаимодействие тераэлектронвольт основа_анализ планковский_длина масса_порядок рамка_стандартный_модель специальный_теория_относительность
topic_91: процесс_взаимодействие субстрат языкознание перспективный_направление российский_исследователь художник испанский_язык восприимчивость проблема_устойчивость воспроизведение исследовательский_вопрос универсалия творец битва плечо
topic_92: видеоигра игра индустрия игрок подход виртуальный_реальность изучение девочка совместный_проект тема экономика современный_культура компьютер область_исследование пришелец
topic_93: питание жир взаимосвязь потребление фактор вывод рак_молочный_железа пища кровь диета доля высокий_уровень употребление болезнь показатель
topic_94: травма архетип юнга проявление реагирование сознание матерь схема отцовство зевс отец холокост иерархия самость поколение
topic_95: фермент организм радикал разработка лаборатория регенерация средство лекарство препарат частичка заболевание использование доставка_лекарство мембрана травма
topic_96: герой сказка героиня нея персонаж мёртвый девочка жена волшебный_сказка баба девушка происхождение нога муж охотник
topic_97: стэнли_милгрэм бытовой_жизнь теломераза священный_римский_империя культурный_влияние поверхность_нейтронный_звезда частица_свет имянаречение тарантино афина коммерческий_банк современный_физик белые_карлик свободный_энергия темп_расширение_вселенная
topic_98: новое_способ макрофаг миокард хрящ сосудистый_система биологический_факультет опухолевый_клетка теломераза бляшка питьевой_вода собственный_сила количество_клетка негативный_влияние инфаркт артериальный_давление
topic_99: проза муж исповедь стен вождь бог писатель жена эссе бабушка письмо стена китаец августин справочник
topic_100: бахтин ценность карнавал герой зеркало поступок глаз памятник философия философ кандидат_филологический_наука культуролог существо предел мысль
topic_101: след существо отпечаток длина представитель многоклеточный_организм строение моллюск организм карман зуб борозда признак находка слой
topic_102: сборник статья культовый_кино редакция введение культовый_кинематограф культ культовый_фильм классика рамка коллега раздел автор джей позиция
topic_103: объект предмет фурье база интерферометр характеристика амплитуда точка луч_свет исследователь множество фокус длинный_волна лямбда тысяча
topic_104: петербург путешествие юбилей внук литр пословица организатор рассмотрение киев размышление мёртвый заметка новый_книга погода основоположник
topic_105: плод дерево общий_свойство респондент биологический_объект кустарник ботаник овощ словоупотребление рф белок естественный_язык анкета бывший_ссср синоним
topic_106: первое_направление близкие_галактика поверхность_нейтронный_звезда белые_карлик темп_расширение_вселенная космический_аппарат реконструкция_праязык миллион_светов реликтовый_излучение свободный_падение синус частица_свет масса_порядок магний галактический_диск
topic_107: жидкость уравнение уравнение_состояние свойство_вещество кристалл высокий_давление плазма фазовый_переход взаимодействие зависимость удар потенциал миллион_атмосфера вещество температура
topic_108: самостоятельность средний_образование чистый_лист гимнастика учебный_процесс прежний_уровень высокий_достижение мера_необходимость университетский_преподаватель обучение_язык количество_часы лицей богослужение теломераза папа_григорий
topic_109: сакрализация сплочённость экономический_теория плоть некоторый_текст владыка житие жрец возражение казнь драгоценный_металл переходный_период давид предписание древний_египет
topic_110: упадок азия остров высокий_рост флот империализм средиземноморье монгол возможность_применение гора погром разорение мекка фернан различный_регион
topic_111: иммунный_система чужое иммунология иммунитет работа_иммунный_система болезнь человеческий_тело определённый_образ отдел различение конкуренция подобный_род защита фотография иммунный_ответ
topic_112: полиция полицейский преступление суд издержка наказание безопасность спрос право норма интерес порядок мера смертный_казнь коррупция
topic_113: депутат конвент монтаньяр народ робеспьер власть дума революция речь париж партия конституция трибуна клуб огромный_количество
topic_114: вооружение различный_фактор жук аргентина фабрика ранение брожение повышение_эффективность слепота ес промышленный_производство кластер подписание локус атомный_энергетика
topic_115: языковой_форма линия_электропередача кишечный_тракт элементарный_ячейка волновой_функция младенец математический_физика стратегический_взаимодействие демокрит поверка меч регистрация_электрический_активность_мозг линейный_уравнение строение_мозг схоласт
topic_116: ритуал речь юмор механизм употребление власть ложь степень эпоха нарушение плата явление народ качество действительность
topic_117: опухолевый_клетка теломераза механизм_защита наркомания большой_потомство национальный_центр папа_григорий количество_клетка прогрессия простой_решение полиненасыщенный_жирный_кислота федерализм парижский_коммуна страховой_компания коммерческий_банк
topic_118: словарь цитата значение_слово частотность лексикограф старое словарь_русский_язык русский_язык предмет гост список лексикография трус чаща интернет
topic_119: принцесса новый_концепция дядя полный_понимание эгоистичный_ген естественный_наука эпикура воз западный_германия английский_издание последний_момент черчилль месопотамия второе_издание король_франция
topic_120: сомнение курение табак знание мнение индустрия механизм незнание критический_мышление фактор курильщик экология потребитель эксперт влияние
topic_121: открытие медь температура магнон железо демокрит плоскость сожаление барьер пара кислород простой кристаллический_структура строение отличие
topic_122: размножение окружающий_пространство восприятие_пространство интересный_идея джим юлий геометрия поведенческий_экология грызунов эгоист основной_вклад лужа метилирование копия_ген собственный_ген
topic_123: сша хантингтон сожаление война институт смена доля великобритания государство крах оон труд территория организация кнр
topic_124: письменность алфавит письмо знак африка народ иероглиф деревня жестовый_язык сообщение гора восточный_азия отличие звук слог
topic_125: возникновение_жизнь приключение постижение афоризм происшествие небытие призыв хаотичёска политический_влияние состояние_ум убедительный_доказательство основный_категория философский_точка_зрение нильс_бора новый_жизнь
topic_126: человеческий_раса множество_вариант москвич определённый_регион урон тяжёлый_ядро поверхность_нейтронный_звезда расовый_признак точка_орбита шельф магний газовый_гигант группа_пациент антивещество полиненасыщенный_жирный_кислота
topic_127: кислород прокариот атмосфера эукариотический_клетка организм миллиард окисление эукариот форма_жизнь окислитель сера протерозой микроб аммоний метан
topic_128: расцвет надрыв утрата отдаление романтика подделка подражание первоисточник священный_писание котёл профессура прилагательное сверстник мощь консультация
topic_129: пожилое эмоция депрессия возраст чаща чувство активность участник старший молодёжь молодая префронтальный_кора даль ответ умение
topic_130: рабочий офис компания рабочий_пространство сотрудник одежда работник дресс костюм код креативный_класс организация стиль район здание
topic_131: студент экзамен ответ вуз образование преподаватель навык школа подготовка большинство обучение практика курс лекция формат
topic_132: фальсификация летопись фоменко исторический_факт профессиональный_учёный испания исторический_память битва советский_общество епископ подделка трибунал комиссия реванш переоценка
topic_133: эволюция мутация субстрат штамм бактерия влияние ресурс микроб сравнение молекула признак популяция фермент свинья метилирование
topic_134: угроза почва лидер президент принятие неспособность потребитель засуха плотина вред штат вождь правительство норвегия питательный_вещество
